iter	Passed	Remaining
417	2772	3860
418	2777	3851
419	2782	3841
420	2787	3833
421	2792	3824
422	2797	3815
423	2801	3806
424	2807	3797
425	2811	3788
426	2817	3780
427	2822	3771
428	2827	3763
429	2832	3754
430	2838	3746
431	2842	3737
432	2847	3728
433	2852	3719
434	2857	3711
435	2862	3702
436	2867	3694
437	2872	3685
438	2878	3678
439	2883	3670
440	2890	3663
441	2895	3655
442	2900	3647
443	2905	3638
444	2910	3630
445	2915	3621
446	2920	3612
447	2925	3604
448	2930	3595
449	2935	3587
450	2940	3578
451	2945	3570
452	2957	3571
453	2964	3565
454	2970	3557
455	2975	3549
456	2980	3541
457	2985	3533
458	2991	3525
459	2995	3516
460	2999	3506
461	3004	3498
462	3008	3489
463	3014	3482
464	3019	3474
465	3024	3465
466	3027	3455
467	3034	3449
468	3040	3441
469	3044	3433
470	3050	3425
471	3054	3417
472	3059	3409
473	3064	3400
474	3069	3393
475	3075	3385
476	3080	3377
477	3082	3366
478	3088	3358
479	3092	3350
480	3097	3342
481	3102	3333
482	3107	3326
483	3112	3318
484	3117	3310
485	3122	3302
486	3127	3294
487	3132	3286
488	3137	3278
489	3142	3270
490	3148	3263
491	3153	3256
492	3158	3248
493	3164	3241
494	3169	3233
495	3174	3225
496	3179	3217
497	3182	3208
498	3187	3200
499	3192	3192
500	3197	3184
501	3201	3176
502	3206	3168
503	3211	3160
504	3216	3152
505	3221	3144
506	3226	3137
507	3230	3128
508	3235	3121
509	3248	3121
510	3257	3116
511	3265	3112
512	3273	3107
513	3283	3104
514	3294	3102
515	3298	3093
516	3306	3089
517	3314	3084
518	3322	3079
519	3330	3074
520	3338	3069
521	3346	3064
522	3353	3058
523	3362	3054
524	3369	3048
525	3376	3042
526	3384	3037
527	3389	3029
528	3394	3022
529	3399	3014
530	3404	3006
531	3409	2999
532	3414	2991
533	3420	2984
534	3427	2978
535	3432	2971
536	3437	2963
537	3441	2955
538	3446	2947
539	3451	2939
540	3455	2932
541	3459	2923
542	3463	2915
543	3468	2907
544	3473	2899
545	3478	2892
546	3480	2882
547	3485	2874
548	3490	2867
549	3494	2859
550	3499	2851
551	3504	2844
552	3509	2836
553	3513	2828
554	3519	2821
555	3523	2814
556	3528	2806
557	3533	2799
558	3538	2791
559	3543	2783
560	3547	2776
561	3553	2769
562	3558	2761
563	3563	2754
564	3569	2748
565	3575	2741
566	3579	2733
567	3584	2726
568	3589	2718
569	3594	2711
570	3600	2704
571	3605	2697
572	3610	2690
573	3615	2683
574	3619	2675
575	3625	2668
576	3629	2661
577	3635	2654
578	3640	2646
579	3645	2639
580	3650	2632
581	3654	2624
582	3659	2617
583	3664	2610
584	3680	2611
585	3686	2604
586	3691	2597
587	3697	2590
588	3702	2583
