iter	Logloss
0	0.6751561902
1	0.6606715418
2	0.6453814224
3	0.6307756362
4	0.615265454
5	0.6018533653
6	0.5917005767
7	0.5785099964
8	0.5658946564
9	0.5540159385
10	0.5414548015
11	0.5294768152
12	0.518177793
13	0.5080718465
14	0.4980267544
15	0.4867670154
16	0.4759737025
17	0.4661476932
18	0.4563072815
19	0.4451814195
20	0.436013891
21	0.4252128445
22	0.4163618401
23	0.4081975818
24	0.4009164154
25	0.3940120526
26	0.3865519082
27	0.3795282846
28	0.3730333783
29	0.3665693422
30	0.3601323358
31	0.3540297181
32	0.3481104058
33	0.3406024687
34	0.3339797429
35	0.328670568
36	0.3230408729
37	0.3180716991
38	0.3129263489
39	0.3070110675
40	0.301896967
41	0.2974624444
42	0.2917451935
43	0.2866650525
44	0.2811255766
45	0.2767113201
46	0.2728177321
47	0.268475491
48	0.2647577707
49	0.2598895849
50	0.2560943677
51	0.2516007989
52	0.2460221846
53	0.2421074129
54	0.2386657817
55	0.235435527
56	0.2315572508
57	0.2278763351
58	0.2244072944
59	0.2211206231
60	0.2192222545
61	0.2154871927
62	0.2121139167
63	0.2093219645
64	0.2061929656
65	0.203619962
66	0.2008495147
67	0.1987472526
68	0.1969438908
69	0.1944062549
70	0.19231608
71	0.1898629068
72	0.1876980023
73	0.1854956569
74	0.1836582272
75	0.1815391907
76	0.1798474489
77	0.1774637329
78	0.1758603728
79	0.1738360829
80	0.171818734
81	0.1695319517
82	0.167624026
83	0.1655349808
84	0.1636199608
85	0.1616513081
86	0.1598741552
87	0.1586152171
88	0.1573573524
89	0.1561154293
90	0.1545133284
91	0.1520894844
92	0.1503152223
93	0.1488489126
94	0.1470951055
95	0.1460615753
96	0.1451298267
97	0.1438480212
98	0.1423502802
99	0.1407695736
100	0.1392599155
101	0.13782696
102	0.1363802286
103	0.135141502
104	0.1334684846
105	0.1318889574
106	0.1309523822
107	0.1296937021
108	0.128740803
109	0.1277675386
110	0.1267356075
111	0.125292507
112	0.1244751372
113	0.1233045003
114	0.1223414635
115	0.1215249362
116	0.1205229326
117	0.1193510764
118	0.1185156347
119	0.1179051259
120	0.1168787116
121	0.1158700575
122	0.1151462202
123	0.1142757531
124	0.1136662791
125	0.1130783046
126	0.1125111244
127	0.1119354693
128	0.1111304843
129	0.1104744796
130	0.1097123201
131	0.1090002504
132	0.10829066
133	0.1076855036
134	0.107036954
135	0.1064752971
136	0.1054656751
137	0.1051015362
138	0.1045292999
139	0.103852614
140	0.1033539037
141	0.1028519198
142	0.1020948639
143	0.1015722345
144	0.1010064852
145	0.1001327499
146	0.09952095055
147	0.09906669553
148	0.09834552381
149	0.09795897498
150	0.09728196696
151	0.09685653076
152	0.0961737058
153	0.09561626352
154	0.09487589154
155	0.0944199227
156	0.09375689976
157	0.09339741649
158	0.09310954166
159	0.09271520175
160	0.09233721045
161	0.09197618879
162	0.09134675035
163	0.09068106202
164	0.09034289803
165	0.08984915028
166	0.08947619432
167	0.08919837387
168	0.0886792923
169	0.08808978625
170	0.08777538966
171	0.08738373679
172	0.08683072427
173	0.08633048839
174	0.08579090119
175	0.08524716318
176	0.08483431063
177	0.0845702399
178	0.08407632683
179	0.08371651326
180	0.08331066581
181	0.08292001601
182	0.08265874952
183	0.08215745772
184	0.08154746013
185	0.08113172892
186	0.08085720571
187	0.08040416445
188	0.08013321126
189	0.08000019834
190	0.07958166524
191	0.07915038832
192	0.07896368917
193	0.07859607472
194	0.07815160747
195	0.07779094462
196	0.07745293972
197	0.07699503867
198	0.07670870736
199	0.07631568505
200	0.07590889837
201	0.07574803742
202	0.07555968143
203	0.07528705555
204	0.07480212023
205	0.07450869343
206	0.07439924364
207	0.07418377443
208	0.07381487159
209	0.0734361192
210	0.07303975639
211	0.0728589806
212	0.0727260004
213	0.07246034087
214	0.07211601025
215	0.07198087062
216	0.07167230097
217	0.07133240047
218	0.07089593205
219	0.07065204071
220	0.07039101987
221	0.06999938776
222	0.06983552232
223	0.06947655004
224	0.06935092728
225	0.06905469998
226	0.068897744
227	0.0685293623
228	0.06832689114
229	0.06811614425
230	0.06795315774
231	0.06766455195
232	0.06750428898
233	0.06733053873
234	0.06703381246
235	0.06672798491
236	0.06659178899
237	0.06640545344
238	0.06631112718
239	0.0662170174
240	0.06606668839
241	0.06570739843
242	0.06536572278
243	0.06509564295
244	0.06477900786
245	0.06456381968
246	0.06428248897
247	0.0640020951
248	0.06366004592
249	0.06360275539
250	0.06347884662
251	0.06317543261
252	0.06297815582
253	0.06266876924
254	0.06239348757
255	0.06218475682
256	0.06195610473
257	0.06164118147
258	0.06143352424
259	0.06129168957
260	0.06123499803
261	0.06095916162
262	0.06062011256
263	0.06038075496
264	0.0601020447
265	0.06003793009
266	0.05988905331
267	0.0596292376
268	0.05949445167
269	0.05922933614
270	0.05915872162
271	0.05909716985
272	0.0590352892
273	0.05876801489
274	0.0585344887
275	0.05841285191
276	0.05817547991
277	0.05803352422
278	0.05784656052
279	0.05764373335
280	0.05758504369
281	0.05730341944
282	0.05707489095
283	0.05693738155
284	0.05687506587
285	0.0567056743
286	0.05654052454
287	0.05642096194
288	0.05629515823
289	0.05623439465
290	0.05608403605
291	0.0560019863
292	0.05575356035
293	0.05552417093
294	0.05529143769
295	0.05515652095
296	0.05506940529
297	0.05500031501
298	0.05478237614
299	0.05468394948
300	0.05450284535
301	0.05439199821
302	0.05426672585
303	0.05418300239
304	0.05410388731
305	0.0539354966
306	0.05387203171
307	0.0537952939
308	0.05371988095
309	0.05369041622
310	0.05341629339
311	0.05332746123
312	0.05322648939
313	0.0530366666
314	0.05294273289
315	0.05275002245
316	0.05258678508
317	0.05250770618
318	0.05239555328
319	0.05223171907
320	0.0520877041
321	0.05200801991
322	0.05193465394
323	0.05163857615
324	0.05149391403
325	0.05139612054
326	0.05116640516
327	0.05112761216
328	0.05107709931
329	0.05102136116
330	0.05091987813
331	0.05087780231
332	0.05077585726
333	0.05070866926
334	0.05061057845
335	0.05052369238
336	0.05038993622
337	0.05015816358
338	0.05009668399
339	0.05007392274
340	0.04998773368
341	0.04982710585
342	0.04958728017
343	0.04955432206
344	0.04939463241
345	0.04916680146
346	0.04904995534
347	0.0488914222
348	0.04884305342
349	0.04872915488
350	0.04863531547
351	0.04846277693
352	0.04829561064
353	0.04821462068
354	0.04813561982
355	0.04809802301
356	0.04790901401
357	0.0478958353
358	0.04785975175
359	0.0478115801
360	0.04762457161
361	0.04749421565
362	0.04730669944
363	0.04720174805
364	0.04703435075
365	0.04697147012
366	0.04690570487
367	0.04685695808
368	0.04675738102
369	0.04659226958
370	0.04649399547
371	0.046436812
372	0.04634374512
373	0.0462922712
374	0.04613194018
375	0.046033867
376	0.04593047966
377	0.04583687637
378	0.0457996008
379	0.04576144597
380	0.04572383566
381	0.04563108619
382	0.04559032477
383	0.04549601458
384	0.04540316124
385	0.04526546427
386	0.04509531834
387	0.04496049176
388	0.04488950475
389	0.04481999445
390	0.04474344862
391	0.04463481114
392	0.04460354085
